"","Survived","Pclass","Sex","Age","Fare","Cabin","Embarked","Familiares"
"1","Muere","3a","M",22,3.625,"Unknow","S",1
"2","Vive","1a","F",38,35.64165,"C","C",1
"3","Vive","3a","F",26,7.925,"Unknow","S",0
"4","Vive","1a","F",35,26.55,"C","S",1
"5","Muere","3a","M",35,8.05,"Unknow","S",0
"6","Muere","3a","M",29.6991176470588,8.4583,"Unknow","Q",0
"7","Muere","1a","M",54,51.8625,"E","S",0
"8","Muere","3a","M",2,4.215,"Unknow","S",4
"9","Vive","3a","F",27,3.7111,"Unknow","S",2
"10","Vive","2a","F",14,15.0354,"Unknow","C",1
"11","Vive","3a","F",4,5.56666666666667,"G","S",2
"12","Vive","1a","F",58,26.55,"C","S",0
"13","Muere","3a","M",20,8.05,"Unknow","S",0
"14","Muere","3a","M",39,4.46785714285714,"Unknow","S",6
"15","Muere","3a","F",14,7.8542,"Unknow","S",0
"16","Vive","2a","F",55,16,"Unknow","S",0
"17","Muere","3a","M",2,4.85416666666667,"Unknow","Q",5
"18","Vive","2a","M",29.6991176470588,13,"Unknow","S",0
"19","Muere","3a","F",31,9,"Unknow","S",1
"20","Vive","3a","F",29.6991176470588,7.225,"Unknow","C",0
"21","Muere","2a","M",35,26,"Unknow","S",0
"22","Vive","2a","M",34,13,"D","S",0
"23","Vive","3a","F",15,8.0292,"Unknow","Q",0
"24","Vive","1a","M",28,35.5,"A","S",0
"25","Muere","3a","F",8,4.215,"Unknow","S",4
"26","Vive","3a","F",38,4.48392857142857,"Unknow","S",6
"27","Muere","3a","M",29.6991176470588,7.225,"Unknow","C",0
"28","Muere","1a","M",19,43.8333333333333,"C","S",5
"29","Vive","3a","F",29.6991176470588,7.8792,"Unknow","Q",0
"30","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"31","Muere","1a","M",40,27.7208,"Unknow","C",0
"32","Vive","1a","F",29.6991176470588,73.2604,"B","C",1
"33","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",0
"34","Muere","2a","M",66,10.5,"Unknow","S",0
"35","Muere","1a","M",28,41.0854,"Unknow","C",1
"36","Muere","1a","M",42,26,"Unknow","S",1
"37","Vive","3a","M",29.6991176470588,7.2292,"Unknow","C",0
"38","Muere","3a","M",21,8.05,"Unknow","S",0
"39","Muere","3a","F",18,6,"Unknow","S",2
"40","Vive","3a","F",14,5.62085,"Unknow","C",1
"41","Muere","3a","F",40,4.7375,"Unknow","S",1
"42","Muere","2a","F",27,10.5,"Unknow","S",1
"43","Muere","3a","M",29.6991176470588,7.8958,"Unknow","C",0
"44","Vive","2a","F",3,10.3948,"Unknow","C",3
"45","Vive","3a","F",19,7.8792,"Unknow","Q",0
"46","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"47","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",1
"48","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",0
"49","Muere","3a","M",29.6991176470588,7.2264,"Unknow","C",2
"50","Muere","3a","F",18,8.9,"Unknow","S",1
"51","Muere","3a","M",7,6.61458333333333,"Unknow","S",5
"52","Muere","3a","M",21,7.8,"Unknow","S",0
"53","Vive","1a","F",49,38.3646,"D","C",1
"54","Vive","2a","F",29,13,"Unknow","S",1
"55","Muere","1a","M",65,30.9896,"B","C",1
"56","Vive","1a","M",29.6991176470588,35.5,"C","S",0
"57","Vive","2a","F",21,10.5,"Unknow","S",0
"58","Muere","3a","M",28.5,7.2292,"Unknow","C",0
"59","Vive","2a","F",5,6.9375,"Unknow","S",3
"60","Muere","3a","M",11,5.8625,"Unknow","S",7
"61","Muere","3a","M",22,7.2292,"Unknow","C",0
"62","Vive","1a","F",38,73.3802,"B","S",0
"63","Muere","1a","M",45,41.7375,"C","S",1
"64","Muere","3a","M",4,4.65,"Unknow","S",5
"65","Muere","1a","M",29.6991176470588,27.7208,"Unknow","C",0
"66","Vive","3a","M",29.6991176470588,5.08193333333333,"Unknow","C",2
"67","Vive","2a","F",29,10.5,"F","S",0
"68","Muere","3a","M",19,8.1583,"Unknow","S",0
"69","Vive","3a","F",17,1.13214285714286,"Unknow","S",6
"70","Muere","3a","M",26,2.8875,"Unknow","S",2
"71","Muere","2a","M",32,10.5,"Unknow","S",0
"72","Muere","3a","F",16,5.8625,"Unknow","S",7
"73","Muere","2a","M",21,73.3802,"Unknow","S",0
"74","Muere","3a","M",26,7.2271,"Unknow","C",1
"75","Vive","3a","M",32,56.4958,"Unknow","S",0
"76","Muere","3a","M",25,7.65,"F","S",0
"77","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"78","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"79","Vive","2a","M",0.83,9.66666666666667,"Unknow","S",2
"80","Vive","3a","F",30,12.475,"Unknow","S",0
"81","Muere","3a","M",22,9,"Unknow","S",0
"82","Vive","3a","M",29,9.5,"Unknow","S",0
"83","Vive","3a","F",29.6991176470588,7.7875,"Unknow","Q",0
"84","Muere","1a","M",28,47.1,"Unknow","S",0
"85","Vive","2a","F",17,10.5,"Unknow","S",0
"86","Vive","3a","F",33,3.9625,"Unknow","S",3
"87","Muere","3a","M",16,6.875,"Unknow","S",4
"88","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"89","Vive","1a","F",23,43.8333333333333,"C","S",5
"90","Muere","3a","M",24,8.05,"Unknow","S",0
"91","Muere","3a","M",29,8.05,"Unknow","S",0
"92","Muere","3a","M",20,7.8542,"Unknow","S",0
"93","Muere","1a","M",46,30.5875,"E","S",1
"94","Muere","3a","M",26,5.14375,"Unknow","S",3
"95","Muere","3a","M",59,7.25,"Unknow","S",0
"96","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"97","Muere","1a","M",71,34.6542,"A","C",0
"98","Vive","1a","M",23,31.67915,"D","C",1
"99","Vive","2a","F",34,11.5,"Unknow","S",1
"100","Muere","2a","M",34,13,"Unknow","S",1
"101","Muere","3a","F",28,7.8958,"Unknow","S",0
"102","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"103","Muere","1a","M",21,38.64375,"D","S",1
"104","Muere","3a","M",33,8.6542,"Unknow","S",0
"105","Muere","3a","M",37,2.64166666666667,"Unknow","S",2
"106","Muere","3a","M",28,7.8958,"Unknow","S",0
"107","Vive","3a","F",21,7.65,"Unknow","S",0
"108","Vive","3a","M",29.6991176470588,7.775,"Unknow","S",0
"109","Muere","3a","M",38,7.8958,"Unknow","S",0
"110","Vive","3a","F",29.6991176470588,12.075,"Unknow","Q",1
"111","Muere","1a","M",47,52,"C","S",0
"112","Muere","3a","F",14.5,7.2271,"Unknow","C",1
"113","Muere","3a","M",22,8.05,"Unknow","S",0
"114","Muere","3a","F",20,4.9125,"Unknow","S",1
"115","Muere","3a","F",17,14.4583,"Unknow","C",0
"116","Muere","3a","M",21,7.925,"Unknow","S",0
"117","Muere","3a","M",70.5,7.75,"Unknow","Q",0
"118","Muere","2a","M",29,10.5,"Unknow","S",1
"119","Muere","1a","M",24,73.3802,"B","C",1
"120","Muere","3a","F",2,4.46785714285714,"Unknow","S",6
"121","Muere","2a","M",21,24.5,"Unknow","S",2
"122","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"123","Muere","2a","M",32.5,15.0354,"Unknow","C",1
"124","Vive","2a","F",32.5,13,"E","S",0
"125","Muere","1a","M",54,38.64375,"D","S",1
"126","Vive","3a","M",12,5.62085,"Unknow","C",1
"127","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",0
"128","Vive","3a","M",24,7.1417,"Unknow","S",0
"129","Vive","3a","F",29.6991176470588,7.45276666666667,"F","C",2
"130","Muere","3a","M",45,6.975,"Unknow","S",0
"131","Muere","3a","M",33,7.8958,"Unknow","C",0
"132","Muere","3a","M",20,7.05,"Unknow","S",0
"133","Muere","3a","F",47,7.25,"Unknow","S",1
"134","Vive","2a","F",29,13,"Unknow","S",1
"135","Muere","2a","M",25,13,"Unknow","S",0
"136","Muere","2a","M",23,15.0458,"Unknow","C",0
"137","Vive","1a","F",19,8.7611,"D","S",2
"138","Muere","1a","M",37,26.55,"C","S",1
"139","Muere","3a","M",16,9.2167,"Unknow","S",0
"140","Muere","1a","M",24,73.3802,"B","C",0
"141","Muere","3a","F",29.6991176470588,5.08193333333333,"Unknow","C",2
"142","Vive","3a","F",22,7.75,"Unknow","S",0
"143","Vive","3a","F",24,7.925,"Unknow","S",1
"144","Muere","3a","M",19,6.75,"Unknow","Q",0
"145","Muere","2a","M",18,11.5,"Unknow","S",0
"146","Muere","2a","M",19,12.25,"Unknow","S",2
"147","Vive","3a","M",27,7.7958,"Unknow","S",0
"148","Muere","3a","F",9,6.875,"Unknow","S",4
"149","Muere","2a","M",36.5,8.66666666666667,"F","S",2
"150","Muere","2a","M",42,13,"Unknow","S",0
"151","Muere","2a","M",51,12.525,"Unknow","S",0
"152","Vive","1a","F",22,33.3,"C","S",1
"153","Muere","3a","M",55.5,8.05,"Unknow","S",0
"154","Muere","3a","M",40.5,4.83333333333333,"Unknow","S",2
"155","Muere","3a","M",29.6991176470588,7.3125,"Unknow","S",0
"156","Muere","1a","M",51,30.6896,"Unknow","C",1
"157","Vive","3a","F",16,7.7333,"Unknow","Q",0
"158","Muere","3a","M",30,8.05,"Unknow","S",0
"159","Muere","3a","M",29.6991176470588,8.6625,"Unknow","S",0
"160","Muere","3a","M",29.6991176470588,6.32272727272727,"Unknow","S",10
"161","Muere","3a","M",44,8.05,"Unknow","S",1
"162","Vive","2a","F",40,15.75,"Unknow","S",0
"163","Muere","3a","M",26,7.775,"Unknow","S",0
"164","Muere","3a","M",17,8.6625,"Unknow","S",0
"165","Muere","3a","M",1,6.61458333333333,"Unknow","S",5
"166","Vive","3a","M",9,6.84166666666667,"Unknow","S",2
"167","Vive","1a","F",29.6991176470588,27.5,"E","S",1
"168","Muere","3a","F",45,4.65,"Unknow","S",5
"169","Muere","1a","M",29.6991176470588,25.925,"Unknow","S",0
"170","Muere","3a","M",28,56.4958,"Unknow","S",0
"171","Muere","1a","M",61,33.5,"B","S",0
"172","Muere","3a","M",4,4.85416666666667,"Unknow","Q",5
"173","Vive","3a","F",1,3.7111,"Unknow","S",2
"174","Muere","3a","M",21,7.925,"Unknow","S",0
"175","Muere","1a","M",56,30.6958,"A","C",0
"176","Muere","3a","M",18,2.61806666666667,"Unknow","S",2
"177","Muere","3a","M",29.6991176470588,5.09334,"Unknow","S",4
"178","Muere","1a","F",50,28.7125,"C","C",0
"179","Muere","2a","M",30,13,"Unknow","S",0
"180","Muere","3a","M",36,13.675550101833,"Unknow","S",0
"181","Muere","3a","F",29.6991176470588,6.32272727272727,"Unknow","S",10
"182","Muere","2a","M",29.6991176470588,15.05,"Unknow","C",0
"183","Muere","3a","M",9,4.48392857142857,"Unknow","S",6
"184","Vive","2a","M",1,9.75,"F","S",3
"185","Vive","3a","F",4,7.34166666666667,"Unknow","S",2
"186","Muere","1a","M",29.6991176470588,50,"A","S",0
"187","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",1
"188","Vive","1a","M",45,26.55,"Unknow","S",0
"189","Muere","3a","M",40,5.16666666666667,"Unknow","Q",2
"190","Muere","3a","M",36,7.8958,"Unknow","S",0
"191","Vive","2a","F",32,13,"Unknow","S",0
"192","Muere","2a","M",19,13,"Unknow","S",0
"193","Vive","3a","F",19,3.9271,"Unknow","S",1
"194","Vive","2a","M",3,8.66666666666667,"F","S",2
"195","Vive","1a","F",44,27.7208,"B","C",0
"196","Vive","1a","F",58,73.3802,"B","C",0
"197","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",0
"198","Muere","3a","M",42,4.2021,"Unknow","S",1
"199","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",0
"200","Muere","2a","F",24,13,"Unknow","S",0
"201","Muere","3a","M",28,9.5,"Unknow","S",0
"202","Muere","3a","M",29.6991176470588,6.32272727272727,"Unknow","S",10
"203","Muere","3a","M",34,6.4958,"Unknow","S",0
"204","Muere","3a","M",45.5,7.225,"Unknow","C",0
"205","Vive","3a","M",18,8.05,"Unknow","S",0
"206","Muere","3a","F",2,5.23125,"G","S",1
"207","Muere","3a","M",32,7.925,"Unknow","S",1
"208","Vive","3a","M",26,18.7875,"Unknow","C",0
"209","Vive","3a","F",16,7.75,"Unknow","Q",0
"210","Vive","1a","M",40,31,"A","C",0
"211","Muere","3a","M",24,7.05,"Unknow","S",0
"212","Vive","2a","F",35,21,"Unknow","S",0
"213","Muere","3a","M",22,7.25,"Unknow","S",0
"214","Muere","2a","M",30,13,"Unknow","S",0
"215","Muere","3a","M",29.6991176470588,3.875,"Unknow","Q",1
"216","Vive","1a","F",31,56.6375,"D","C",1
"217","Vive","3a","F",27,7.925,"Unknow","S",0
"218","Muere","2a","M",42,13.5,"Unknow","S",1
"219","Vive","1a","F",32,73.3802,"D","C",0
"220","Muere","2a","M",30,10.5,"Unknow","S",0
"221","Vive","3a","M",16,8.05,"Unknow","S",0
"222","Muere","2a","M",27,13,"Unknow","S",0
"223","Muere","3a","M",51,8.05,"Unknow","S",0
"224","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"225","Vive","1a","M",38,45,"C","S",1
"226","Muere","3a","M",22,9.35,"Unknow","S",0
"227","Vive","2a","M",19,10.5,"Unknow","S",0
"228","Muere","3a","M",20.5,7.25,"Unknow","S",0
"229","Muere","2a","M",18,13,"Unknow","S",0
"230","Muere","3a","F",29.6991176470588,5.09334,"Unknow","S",4
"231","Vive","1a","F",35,41.7375,"C","S",1
"232","Muere","3a","M",29,7.775,"Unknow","S",0
"233","Muere","2a","M",59,13.5,"Unknow","S",0
"234","Vive","3a","F",5,4.48392857142857,"Unknow","S",6
"235","Muere","2a","M",24,10.5,"Unknow","S",0
"236","Muere","3a","F",29.6991176470588,7.55,"Unknow","S",0
"237","Muere","2a","M",44,13,"Unknow","S",1
"238","Vive","2a","F",8,8.75,"Unknow","S",2
"239","Muere","2a","M",19,10.5,"Unknow","S",0
"240","Muere","2a","M",33,12.275,"Unknow","S",0
"241","Muere","3a","F",29.6991176470588,7.2271,"Unknow","C",1
"242","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",1
"243","Muere","2a","M",29,10.5,"Unknow","S",0
"244","Muere","3a","M",22,7.125,"Unknow","S",0
"245","Muere","3a","M",30,7.225,"Unknow","C",0
"246","Muere","1a","M",44,30,"C","Q",2
"247","Muere","3a","F",25,7.775,"Unknow","S",0
"248","Vive","2a","F",24,4.83333333333333,"Unknow","S",2
"249","Vive","1a","M",37,17.5180666666667,"D","S",2
"250","Muere","2a","M",54,13,"Unknow","S",1
"251","Muere","3a","M",29.6991176470588,7.25,"Unknow","S",0
"252","Muere","3a","F",29,3.4875,"G","S",2
"253","Muere","1a","M",62,26.55,"C","S",0
"254","Muere","3a","M",30,8.05,"Unknow","S",1
"255","Muere","3a","F",41,6.7375,"Unknow","S",2
"256","Vive","3a","F",29,5.08193333333333,"Unknow","C",2
"257","Vive","1a","F",29.6991176470588,73.3802,"Unknow","C",0
"258","Vive","1a","F",30,73.3802,"B","S",0
"259","Vive","1a","F",35,73.3802,"Unknow","C",0
"260","Vive","2a","F",50,13,"Unknow","S",1
"261","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",0
"262","Vive","3a","M",3,4.48392857142857,"Unknow","S",6
"263","Muere","1a","M",52,26.55,"E","S",2
"264","Muere","1a","M",40,73.3802,"B","S",0
"265","Muere","3a","F",29.6991176470588,7.75,"Unknow","Q",0
"266","Muere","2a","M",36,10.5,"Unknow","S",0
"267","Muere","3a","M",16,6.61458333333333,"Unknow","S",5
"268","Vive","3a","M",25,3.8875,"Unknow","S",1
"269","Vive","1a","F",58,73.3802,"C","S",1
"270","Vive","1a","F",35,73.3802,"C","S",0
"271","Muere","1a","M",29.6991176470588,31,"Unknow","S",0
"272","Vive","3a","M",25,13.675550101833,"Unknow","S",0
"273","Vive","2a","F",41,9.75,"Unknow","S",1
"274","Muere","1a","M",37,14.85,"C","C",1
"275","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",0
"276","Vive","1a","F",63,38.97915,"D","S",1
"277","Muere","3a","F",45,7.75,"Unknow","S",0
"278","Muere","2a","M",29.6991176470588,20.6621831521739,"Unknow","S",0
"279","Muere","3a","M",7,4.85416666666667,"Unknow","Q",5
"280","Vive","3a","F",35,6.75,"Unknow","S",2
"281","Muere","3a","M",65,7.75,"Unknow","Q",0
"282","Muere","3a","M",28,7.8542,"Unknow","S",0
"283","Muere","3a","M",16,9.5,"Unknow","S",0
"284","Vive","3a","M",19,8.05,"Unknow","S",0
"285","Muere","1a","M",29.6991176470588,26,"A","S",0
"286","Muere","3a","M",33,8.6625,"Unknow","C",0
"287","Vive","3a","M",30,9.5,"Unknow","S",0
"288","Muere","3a","M",22,7.8958,"Unknow","S",0
"289","Vive","2a","M",42,13,"Unknow","S",0
"290","Vive","3a","F",22,7.75,"Unknow","Q",0
"291","Vive","1a","F",26,73.3802,"Unknow","S",0
"292","Vive","1a","F",19,45.5396,"B","C",1
"293","Muere","2a","M",36,12.875,"D","C",0
"294","Muere","3a","F",24,8.85,"Unknow","S",0
"295","Muere","3a","M",24,7.8958,"Unknow","S",0
"296","Muere","1a","M",29.6991176470588,27.7208,"Unknow","C",0
"297","Muere","3a","M",23.5,7.2292,"Unknow","C",0
"298","Muere","1a","F",2,37.8875,"C","S",3
"299","Vive","1a","M",29.6991176470588,30.5,"C","S",0
"300","Vive","1a","F",50,73.3802,"B","C",1
"301","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",0
"302","Vive","3a","M",29.6991176470588,7.75,"Unknow","Q",2
"303","Muere","3a","M",19,13.675550101833,"Unknow","S",0
"304","Vive","2a","F",29.6991176470588,12.35,"E","Q",0
"305","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"306","Vive","1a","M",0.92,37.8875,"C","S",3
"307","Vive","1a","F",29.6991176470588,73.3802,"Unknow","C",0
"308","Vive","1a","F",17,54.45,"C","C",1
"309","Muere","2a","M",30,12,"Unknow","C",1
"310","Vive","1a","F",30,56.9292,"E","C",0
"311","Vive","1a","F",24,73.3802,"C","C",0
"312","Vive","1a","F",18,52.475,"B","C",4
"313","Muere","2a","F",26,8.66666666666667,"Unknow","S",2
"314","Muere","3a","M",28,7.8958,"Unknow","S",0
"315","Muere","2a","M",43,8.75,"Unknow","S",2
"316","Vive","3a","F",26,7.8542,"Unknow","S",0
"317","Vive","2a","F",24,13,"Unknow","S",1
"318","Muere","2a","M",54,14,"Unknow","S",0
"319","Vive","1a","F",31,54.9555666666667,"C","S",2
"320","Vive","1a","F",40,44.8333333333333,"E","C",2
"321","Muere","3a","M",22,7.25,"Unknow","S",0
"322","Muere","3a","M",27,7.8958,"Unknow","S",0
"323","Vive","2a","F",30,12.35,"Unknow","Q",0
"324","Vive","2a","F",22,9.66666666666667,"Unknow","S",2
"325","Muere","3a","M",29.6991176470588,6.32272727272727,"Unknow","S",10
"326","Vive","1a","F",36,73.3802,"C","C",0
"327","Muere","3a","M",61,6.2375,"Unknow","S",0
"328","Vive","2a","F",36,13,"D","S",0
"329","Vive","3a","F",31,6.84166666666667,"Unknow","S",2
"330","Vive","1a","F",16,28.9896,"B","C",1
"331","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",2
"332","Muere","1a","M",45.5,28.5,"C","S",0
"333","Muere","1a","M",38,73.3802,"C","S",1
"334","Muere","3a","M",16,6,"Unknow","S",2
"335","Vive","1a","F",29.6991176470588,66.825,"Unknow","S",1
"336","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"337","Muere","1a","M",29,33.3,"C","S",1
"338","Vive","1a","F",41,73.3802,"E","C",0
"339","Vive","3a","M",45,8.05,"Unknow","S",0
"340","Muere","1a","M",45,35.5,"T","S",0
"341","Vive","2a","M",2,8.66666666666667,"F","S",2
"342","Vive","1a","F",24,43.8333333333333,"C","S",5
"343","Muere","2a","M",28,13,"Unknow","S",0
"344","Muere","2a","M",25,13,"Unknow","S",0
"345","Muere","2a","M",36,13,"Unknow","S",0
"346","Vive","2a","F",24,13,"F","S",0
"347","Vive","2a","F",40,13,"Unknow","S",0
"348","Vive","3a","F",29.6991176470588,8.05,"Unknow","S",1
"349","Vive","3a","M",3,5.3,"Unknow","S",2
"350","Muere","3a","M",42,8.6625,"Unknow","S",0
"351","Muere","3a","M",23,9.225,"Unknow","S",0
"352","Muere","1a","M",29.6991176470588,35,"C","S",0
"353","Muere","3a","M",15,2.40973333333333,"Unknow","C",2
"354","Muere","3a","M",25,8.9,"Unknow","S",1
"355","Muere","3a","M",29.6991176470588,7.225,"Unknow","C",0
"356","Muere","3a","M",28,9.5,"Unknow","S",0
"357","Vive","1a","F",22,27.5,"E","S",1
"358","Muere","2a","F",38,13,"Unknow","S",0
"359","Vive","3a","F",29.6991176470588,7.8792,"Unknow","Q",0
"360","Vive","3a","F",29.6991176470588,7.8792,"Unknow","Q",0
"361","Muere","3a","M",40,4.65,"Unknow","S",5
"362","Muere","2a","M",29,13.8604,"Unknow","C",1
"363","Muere","3a","F",45,7.2271,"Unknow","C",1
"364","Muere","3a","M",35,7.05,"Unknow","S",0
"365","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",1
"366","Muere","3a","M",30,7.25,"Unknow","S",0
"367","Vive","1a","F",60,37.625,"D","C",1
"368","Vive","3a","F",29.6991176470588,7.2292,"Unknow","C",0
"369","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",0
"370","Vive","1a","F",24,69.3,"B","C",0
"371","Vive","1a","M",25,27.72085,"E","C",1
"372","Muere","3a","M",18,3.2479,"Unknow","S",1
"373","Muere","3a","M",19,8.05,"Unknow","S",0
"374","Muere","1a","M",22,73.3802,"Unknow","C",0
"375","Muere","3a","F",3,4.215,"Unknow","S",4
"376","Vive","1a","F",29.6991176470588,41.0854,"Unknow","C",1
"377","Vive","3a","F",22,7.25,"Unknow","S",0
"378","Muere","1a","M",27,70.5,"C","C",2
"379","Muere","3a","M",20,4.0125,"Unknow","C",0
"380","Muere","3a","M",19,7.775,"Unknow","S",0
"381","Vive","1a","F",42,73.3802,"Unknow","C",0
"382","Vive","3a","F",1,5.24723333333333,"Unknow","C",2
"383","Muere","3a","M",32,7.925,"Unknow","S",0
"384","Vive","1a","F",35,26,"Unknow","S",1
"385","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"386","Muere","2a","M",18,73.3802,"Unknow","S",0
"387","Muere","3a","M",1,5.8625,"Unknow","S",7
"388","Vive","2a","F",36,13,"Unknow","S",0
"389","Muere","3a","M",29.6991176470588,7.7292,"Unknow","Q",0
"390","Vive","2a","F",17,12,"Unknow","C",0
"391","Vive","1a","M",36,30,"B","S",3
"392","Vive","3a","M",21,7.7958,"Unknow","S",0
"393","Muere","3a","M",28,2.64166666666667,"Unknow","S",2
"394","Vive","1a","F",23,56.6375,"D","C",1
"395","Vive","3a","F",24,5.56666666666667,"G","S",2
"396","Muere","3a","M",22,7.7958,"Unknow","S",0
"397","Muere","3a","F",31,7.8542,"Unknow","S",0
"398","Muere","2a","M",46,26,"Unknow","S",0
"399","Muere","2a","M",23,10.5,"Unknow","S",0
"400","Vive","2a","F",28,12.65,"Unknow","S",0
"401","Vive","3a","M",39,7.925,"Unknow","S",0
"402","Muere","3a","M",26,8.05,"Unknow","S",0
"403","Muere","3a","F",21,4.9125,"Unknow","S",1
"404","Muere","3a","M",28,7.925,"Unknow","S",1
"405","Muere","3a","F",20,8.6625,"Unknow","S",0
"406","Muere","2a","M",34,10.5,"Unknow","S",1
"407","Muere","3a","M",51,7.75,"Unknow","S",0
"408","Vive","2a","M",3,6.25,"Unknow","S",2
"409","Muere","3a","M",21,7.775,"Unknow","S",0
"410","Muere","3a","F",29.6991176470588,5.09334,"Unknow","S",4
"411","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"412","Muere","3a","M",29.6991176470588,6.8583,"Unknow","Q",0
"413","Vive","1a","F",33,45,"C","Q",1
"414","Muere","2a","M",29.6991176470588,20.6621831521739,"Unknow","S",0
"415","Vive","3a","M",44,7.925,"Unknow","S",0
"416","Muere","3a","F",29.6991176470588,8.05,"Unknow","S",0
"417","Vive","2a","F",34,10.8333333333333,"Unknow","S",2
"418","Vive","2a","F",18,4.33333333333333,"Unknow","S",2
"419","Muere","2a","M",30,13,"Unknow","S",0
"420","Muere","3a","F",10,8.05,"Unknow","S",2
"421","Muere","3a","M",29.6991176470588,7.8958,"Unknow","C",0
"422","Muere","3a","M",21,7.7333,"Unknow","Q",0
"423","Muere","3a","M",29,7.875,"Unknow","S",0
"424","Muere","3a","F",28,4.8,"Unknow","S",2
"425","Muere","3a","M",18,6.7375,"Unknow","S",2
"426","Muere","3a","M",29.6991176470588,7.25,"Unknow","S",0
"427","Vive","2a","F",28,13,"Unknow","S",1
"428","Vive","2a","F",19,26,"Unknow","S",0
"429","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",0
"430","Vive","3a","M",32,8.05,"E","S",0
"431","Vive","1a","M",28,26.55,"C","S",0
"432","Vive","3a","F",29.6991176470588,8.05,"Unknow","S",1
"433","Vive","2a","F",42,13,"Unknow","S",1
"434","Muere","3a","M",17,7.125,"Unknow","S",0
"435","Muere","1a","M",50,27.95,"E","S",1
"436","Vive","1a","F",14,30,"B","S",3
"437","Muere","3a","F",21,6.875,"Unknow","S",4
"438","Vive","2a","F",24,3.125,"Unknow","S",5
"439","Muere","1a","M",64,43.8333333333333,"C","S",5
"440","Muere","2a","M",31,10.5,"Unknow","S",0
"441","Vive","2a","F",45,8.75,"Unknow","S",2
"442","Muere","3a","M",20,9.5,"Unknow","S",0
"443","Muere","3a","M",25,3.8875,"Unknow","S",1
"444","Vive","2a","F",28,13,"Unknow","S",0
