"","Survived","Pclass","Sex","Age","Fare","Cabin","Embarked","Familiares"
"445","Vive","3a","M",29.6991176470588,8.1125,"Unknow","S",0
"446","Vive","1a","M",4,27.2861,"A","S",2
"447","Vive","2a","F",13,9.75,"Unknow","S",1
"448","Vive","1a","M",34,26.55,"Unknow","S",0
"449","Vive","3a","F",5,4.814575,"Unknow","C",3
"450","Vive","1a","M",52,30.5,"C","S",0
"451","Muere","2a","M",36,6.9375,"Unknow","S",3
"452","Muere","3a","M",29.6991176470588,9.98335,"Unknow","S",1
"453","Muere","1a","M",30,27.75,"C","C",0
"454","Vive","1a","M",49,44.5521,"C","C",1
"455","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"456","Vive","3a","M",29,7.8958,"Unknow","C",0
"457","Muere","1a","M",65,26.55,"E","S",0
"458","Vive","1a","F",29.6991176470588,25.93125,"D","S",1
"459","Vive","2a","F",50,10.5,"Unknow","S",0
"460","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",0
"461","Vive","1a","M",48,26.55,"E","S",0
"462","Muere","3a","M",34,8.05,"Unknow","S",0
"463","Muere","1a","M",47,38.5,"E","S",0
"464","Muere","2a","M",48,13,"Unknow","S",0
"465","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"466","Muere","3a","M",38,7.05,"Unknow","S",0
"467","Muere","2a","M",29.6991176470588,20.6621831521739,"Unknow","S",0
"468","Muere","1a","M",56,26.55,"Unknow","S",0
"469","Muere","3a","M",29.6991176470588,7.725,"Unknow","Q",0
"470","Vive","3a","F",0.75,4.814575,"Unknow","C",3
"471","Muere","3a","M",29.6991176470588,7.25,"Unknow","S",0
"472","Muere","3a","M",38,8.6625,"Unknow","S",0
"473","Vive","2a","F",33,6.9375,"Unknow","S",3
"474","Vive","2a","F",23,13.7917,"D","C",0
"475","Muere","3a","F",22,9.8375,"Unknow","S",0
"476","Muere","1a","M",29.6991176470588,52,"A","S",0
"477","Muere","2a","M",34,10.5,"Unknow","S",1
"478","Muere","3a","M",29,3.5229,"Unknow","S",1
"479","Muere","3a","M",22,7.5208,"Unknow","S",0
"480","Vive","3a","F",2,6.14375,"Unknow","S",1
"481","Muere","3a","M",9,5.8625,"Unknow","S",7
"482","Muere","2a","M",29.6991176470588,20.6621831521739,"Unknow","S",0
"483","Muere","3a","M",50,8.05,"Unknow","S",0
"484","Vive","3a","F",63,9.5875,"Unknow","S",0
"485","Vive","1a","M",25,45.5396,"B","C",1
"486","Muere","3a","F",29.6991176470588,5.09334,"Unknow","S",4
"487","Vive","1a","F",35,45,"C","S",1
"488","Muere","1a","M",58,29.7,"B","C",0
"489","Muere","3a","M",30,8.05,"Unknow","S",0
"490","Vive","3a","M",9,5.3,"Unknow","S",2
"491","Muere","3a","M",29.6991176470588,9.98335,"Unknow","S",1
"492","Muere","3a","M",21,7.25,"Unknow","S",0
"493","Muere","1a","M",55,30.5,"C","S",0
"494","Muere","1a","M",71,49.5042,"Unknow","C",0
"495","Muere","3a","M",21,8.05,"Unknow","S",0
"496","Muere","3a","M",29.6991176470588,14.4583,"Unknow","C",0
"497","Vive","1a","F",54,39.13335,"D","C",1
"498","Muere","3a","M",29.6991176470588,15.1,"Unknow","S",0
"499","Muere","1a","F",25,37.8875,"C","S",3
"500","Muere","3a","M",24,7.7958,"Unknow","S",0
"501","Muere","3a","M",17,8.6625,"Unknow","S",0
"502","Muere","3a","F",21,7.75,"Unknow","Q",0
"503","Muere","3a","F",29.6991176470588,7.6292,"Unknow","Q",0
"504","Muere","3a","F",37,9.5875,"Unknow","S",0
"505","Vive","1a","F",16,73.3802,"B","S",0
"506","Muere","1a","M",18,54.45,"C","C",1
"507","Vive","2a","F",33,8.66666666666667,"Unknow","S",2
"508","Vive","1a","M",29.6991176470588,26.55,"Unknow","S",0
"509","Muere","3a","M",28,22.525,"Unknow","S",0
"510","Vive","3a","M",26,56.4958,"Unknow","S",0
"511","Vive","3a","M",29,7.75,"Unknow","Q",0
"512","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"513","Vive","1a","M",36,26.2875,"E","S",0
"514","Vive","1a","F",54,29.7,"Unknow","C",1
"515","Muere","3a","M",24,7.4958,"Unknow","S",0
"516","Muere","1a","M",47,34.0208,"D","S",0
"517","Vive","2a","F",34,10.5,"F","S",0
"518","Muere","3a","M",29.6991176470588,24.15,"Unknow","Q",0
"519","Vive","2a","F",36,13,"Unknow","S",1
"520","Muere","3a","M",32,7.8958,"Unknow","S",0
"521","Vive","1a","F",30,73.3802,"B","S",0
"522","Muere","3a","M",22,7.8958,"Unknow","S",0
"523","Muere","3a","M",29.6991176470588,7.225,"Unknow","C",0
"524","Vive","1a","F",44,28.9896,"B","C",1
"525","Muere","3a","M",29.6991176470588,7.2292,"Unknow","C",0
"526","Muere","3a","M",40.5,7.75,"Unknow","Q",0
"527","Vive","2a","F",50,10.5,"Unknow","S",0
"528","Muere","1a","M",29.6991176470588,73.3802,"C","S",0
"529","Muere","3a","M",39,7.925,"Unknow","S",0
"530","Muere","2a","M",23,2.875,"Unknow","S",3
"531","Vive","2a","F",2,8.66666666666667,"Unknow","S",2
"532","Muere","3a","M",29.6991176470588,7.2292,"Unknow","C",0
"533","Muere","3a","M",17,2.40973333333333,"Unknow","C",2
"534","Vive","3a","F",29.6991176470588,7.45276666666667,"Unknow","C",2
"535","Muere","3a","F",30,8.6625,"Unknow","S",0
"536","Vive","2a","F",7,8.75,"Unknow","S",2
"537","Muere","1a","M",45,26.55,"B","S",0
"538","Vive","1a","F",30,73.3802,"Unknow","C",0
"539","Muere","3a","M",29.6991176470588,14.5,"Unknow","S",0
"540","Vive","1a","F",22,16.5,"B","C",2
"541","Vive","1a","F",36,23.6666666666667,"B","S",2
"542","Muere","3a","F",9,4.46785714285714,"Unknow","S",6
"543","Muere","3a","F",11,4.46785714285714,"Unknow","S",6
"544","Vive","2a","M",32,13,"Unknow","S",1
"545","Muere","1a","M",50,53.2125,"C","C",1
"546","Muere","1a","M",64,26,"Unknow","S",0
"547","Vive","2a","F",19,13,"Unknow","S",1
"548","Vive","2a","M",29.6991176470588,13.8625,"Unknow","C",0
"549","Muere","3a","M",33,6.84166666666667,"Unknow","S",2
"550","Vive","2a","M",8,12.25,"Unknow","S",2
"551","Vive","1a","M",17,36.9611,"C","C",2
"552","Muere","2a","M",27,26,"Unknow","S",0
"553","Muere","3a","M",29.6991176470588,7.8292,"Unknow","Q",0
"554","Vive","3a","M",22,7.225,"Unknow","C",0
"555","Vive","3a","F",22,7.775,"Unknow","S",0
"556","Muere","1a","M",62,26.55,"Unknow","S",0
"557","Vive","1a","F",48,19.8,"A","C",1
"558","Muere","1a","M",29.6991176470588,73.3802,"Unknow","C",0
"559","Vive","1a","F",39,26.55,"E","S",2
"560","Vive","3a","F",36,8.7,"Unknow","S",1
"561","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",0
"562","Muere","3a","M",40,7.8958,"Unknow","S",0
"563","Muere","2a","M",28,13.5,"Unknow","S",0
"564","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"565","Muere","3a","F",29.6991176470588,8.05,"Unknow","S",0
"566","Muere","3a","M",24,8.05,"Unknow","S",2
"567","Muere","3a","M",19,7.8958,"Unknow","S",0
"568","Muere","3a","F",29,4.215,"Unknow","S",4
"569","Muere","3a","M",29.6991176470588,7.2292,"Unknow","C",0
"570","Vive","3a","M",32,7.8542,"Unknow","S",0
"571","Vive","2a","M",62,10.5,"Unknow","S",0
"572","Vive","1a","F",53,17.1597333333333,"C","S",2
"573","Vive","1a","M",36,26.3875,"E","S",0
"574","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",0
"575","Muere","3a","M",16,8.05,"Unknow","S",0
"576","Muere","3a","M",19,14.5,"Unknow","S",0
"577","Vive","2a","F",34,13,"Unknow","S",0
"578","Vive","1a","F",39,27.95,"E","S",1
"579","Muere","3a","F",29.6991176470588,7.22915,"Unknow","C",1
"580","Vive","3a","M",32,7.925,"Unknow","S",0
"581","Vive","2a","F",25,10,"Unknow","S",2
"582","Vive","1a","F",39,36.9611,"C","C",2
"583","Muere","2a","M",54,26,"Unknow","S",0
"584","Muere","1a","M",36,40.125,"A","C",0
"585","Muere","3a","M",29.6991176470588,8.7125,"Unknow","C",0
"586","Vive","1a","F",18,26.55,"E","S",2
"587","Muere","2a","M",47,15,"Unknow","S",0
"588","Vive","1a","M",60,26.4,"B","C",2
"589","Muere","3a","M",22,8.05,"Unknow","S",0
"590","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"591","Muere","3a","M",35,7.125,"Unknow","S",0
"592","Vive","1a","F",52,39.13335,"D","C",1
"593","Muere","3a","M",47,7.25,"Unknow","S",0
"594","Muere","3a","F",29.6991176470588,2.58333333333333,"Unknow","Q",2
"595","Muere","2a","M",37,13,"Unknow","S",1
"596","Muere","3a","M",36,8.05,"Unknow","S",2
"597","Vive","2a","F",29.6991176470588,33,"Unknow","S",0
"598","Muere","3a","M",49,13.675550101833,"Unknow","S",0
"599","Muere","3a","M",29.6991176470588,7.225,"Unknow","C",0
"600","Vive","1a","M",49,28.4646,"A","C",1
"601","Vive","2a","F",24,6.75,"Unknow","S",3
"602","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"603","Muere","1a","M",29.6991176470588,42.4,"Unknow","S",0
"604","Muere","3a","M",44,8.05,"Unknow","S",0
"605","Vive","1a","M",35,26.55,"Unknow","C",0
"606","Muere","3a","M",36,7.775,"Unknow","S",1
"607","Muere","3a","M",30,7.8958,"Unknow","S",0
"608","Vive","1a","M",27,30.5,"Unknow","S",0
"609","Vive","2a","F",22,10.3948,"Unknow","C",3
"610","Vive","1a","F",40,73.3802,"C","S",0
"611","Muere","3a","F",39,4.46785714285714,"Unknow","S",6
"612","Muere","3a","M",29.6991176470588,7.05,"Unknow","S",0
"613","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",1
"614","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",0
"615","Muere","3a","M",35,8.05,"Unknow","S",0
"616","Vive","2a","F",24,16.25,"Unknow","S",3
"617","Muere","3a","M",34,4.8,"Unknow","S",2
"618","Muere","3a","F",26,8.05,"Unknow","S",1
"619","Vive","2a","F",4,9.75,"F","S",3
"620","Muere","2a","M",26,10.5,"Unknow","S",0
"621","Muere","3a","M",27,7.2271,"Unknow","C",1
"622","Vive","1a","M",42,26.2771,"D","S",1
"623","Vive","3a","M",20,5.24723333333333,"Unknow","C",2
"624","Muere","3a","M",21,7.8542,"Unknow","S",0
"625","Muere","3a","M",21,16.1,"Unknow","S",0
"626","Muere","1a","M",61,32.3208,"D","S",0
"627","Muere","2a","M",57,12.35,"Unknow","Q",0
"628","Vive","1a","F",21,73.3802,"D","S",0
"629","Muere","3a","M",26,7.8958,"Unknow","S",0
"630","Muere","3a","M",29.6991176470588,7.7333,"Unknow","Q",0
"631","Vive","1a","M",80,30,"A","S",0
"632","Muere","3a","M",51,7.0542,"Unknow","S",0
"633","Vive","1a","M",32,30.5,"B","C",0
"634","Muere","1a","M",29.6991176470588,73.3802,"Unknow","S",0
"635","Muere","3a","F",9,4.65,"Unknow","S",5
"636","Vive","2a","F",28,13,"Unknow","S",0
"637","Muere","3a","M",32,7.925,"Unknow","S",0
"638","Muere","2a","M",31,8.75,"Unknow","S",2
"639","Muere","3a","F",41,6.61458333333333,"Unknow","S",5
"640","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",1
"641","Muere","3a","M",20,7.8542,"Unknow","S",0
"642","Vive","1a","F",24,69.3,"B","C",0
"643","Muere","3a","F",2,4.65,"Unknow","S",5
"644","Vive","3a","M",29.6991176470588,56.4958,"Unknow","S",0
"645","Vive","3a","F",0.75,4.814575,"Unknow","C",3
"646","Vive","1a","M",48,38.3646,"D","C",1
"647","Muere","3a","M",19,7.8958,"Unknow","S",0
"648","Vive","1a","M",56,35.5,"A","C",0
"649","Muere","3a","M",29.6991176470588,7.55,"Unknow","S",0
"650","Vive","3a","F",23,7.55,"Unknow","S",0
"651","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"652","Vive","2a","F",18,11.5,"Unknow","S",1
"653","Muere","3a","M",21,8.4333,"Unknow","S",0
"654","Vive","3a","F",29.6991176470588,7.8292,"Unknow","Q",0
"655","Muere","3a","F",18,6.75,"Unknow","Q",0
"656","Muere","2a","M",24,24.5,"Unknow","S",2
"657","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"658","Muere","3a","F",32,5.16666666666667,"Unknow","Q",2
"659","Muere","2a","M",23,13,"Unknow","S",0
"660","Muere","1a","M",58,37.7583333333333,"D","C",2
"661","Vive","1a","M",50,44.55,"Unknow","S",2
"662","Muere","3a","M",40,7.225,"Unknow","C",0
"663","Muere","1a","M",47,25.5875,"E","S",0
"664","Muere","3a","M",36,7.4958,"Unknow","S",0
"665","Vive","3a","M",20,3.9625,"Unknow","S",1
"666","Muere","2a","M",32,24.5,"Unknow","S",2
"667","Muere","2a","M",25,13,"Unknow","S",0
"668","Muere","3a","M",29.6991176470588,7.775,"Unknow","S",0
"669","Muere","3a","M",43,8.05,"Unknow","S",0
"670","Vive","1a","F",29.6991176470588,26,"C","S",1
"671","Vive","2a","F",40,13,"Unknow","S",2
"672","Muere","1a","M",31,26,"B","S",1
"673","Muere","2a","M",70,10.5,"Unknow","S",0
"674","Vive","2a","M",31,13,"Unknow","S",0
"675","Muere","2a","M",29.6991176470588,20.6621831521739,"Unknow","S",0
"676","Muere","3a","M",18,7.775,"Unknow","S",0
"677","Muere","3a","M",24.5,8.05,"Unknow","S",0
"678","Vive","3a","F",18,9.8417,"Unknow","S",0
"679","Muere","3a","F",43,5.8625,"Unknow","S",7
"680","Vive","1a","M",36,73.3802,"B","C",1
"681","Muere","3a","F",29.6991176470588,8.1375,"Unknow","Q",0
"682","Vive","1a","M",27,73.3802,"D","C",0
"683","Muere","3a","M",20,9.225,"Unknow","S",0
"684","Muere","3a","M",14,5.8625,"Unknow","S",7
"685","Muere","2a","M",60,13,"Unknow","S",2
"686","Muere","2a","M",25,10.3948,"Unknow","C",3
"687","Muere","3a","M",14,6.61458333333333,"Unknow","S",5
"688","Muere","3a","M",19,10.1708,"Unknow","S",0
"689","Muere","3a","M",18,7.7958,"Unknow","S",0
"690","Vive","1a","F",15,73.3802,"B","S",1
"691","Vive","1a","M",31,28.5,"B","S",1
"692","Vive","3a","F",4,6.70835,"Unknow","C",1
"693","Vive","3a","M",29.6991176470588,56.4958,"Unknow","S",0
"694","Muere","3a","M",25,7.225,"Unknow","C",0
"695","Muere","1a","M",60,26.55,"Unknow","S",0
"696","Muere","2a","M",52,13.5,"Unknow","S",0
"697","Muere","3a","M",44,8.05,"Unknow","S",0
"698","Vive","3a","F",29.6991176470588,7.7333,"Unknow","Q",0
"699","Muere","1a","M",49,36.9611,"C","C",2
"700","Muere","3a","M",42,7.65,"F","S",0
"701","Vive","1a","F",18,73.3802,"C","C",1
"702","Vive","1a","M",35,26.2875,"E","S",0
"703","Muere","3a","F",18,7.2271,"Unknow","C",1
"704","Muere","3a","M",25,7.7417,"Unknow","Q",0
"705","Muere","3a","M",26,3.9271,"Unknow","S",1
"706","Muere","2a","M",39,26,"Unknow","S",0
"707","Vive","2a","F",45,13.5,"Unknow","S",0
"708","Vive","1a","M",42,26.2875,"E","S",0
"709","Vive","1a","F",22,73.3802,"Unknow","S",0
"710","Vive","3a","M",29.6991176470588,5.08193333333333,"Unknow","C",2
"711","Vive","1a","F",24,49.5042,"C","C",0
"712","Muere","1a","M",29.6991176470588,26.55,"C","S",0
"713","Vive","1a","M",48,26,"C","S",1
"714","Muere","3a","M",29,9.4833,"Unknow","S",0
"715","Muere","2a","M",52,13,"Unknow","S",0
"716","Muere","3a","M",19,7.65,"F","S",0
"717","Vive","1a","F",38,73.3802,"C","C",0
"718","Vive","2a","F",27,10.5,"E","S",0
"719","Muere","3a","M",29.6991176470588,15.5,"Unknow","Q",0
"720","Muere","3a","M",33,7.775,"Unknow","S",0
"721","Vive","2a","F",6,16.5,"Unknow","S",1
"722","Muere","3a","M",17,3.5271,"Unknow","S",1
"723","Muere","2a","M",34,13,"Unknow","S",0
"724","Muere","2a","M",50,13,"Unknow","S",0
"725","Vive","1a","M",27,26.55,"E","S",1
"726","Muere","3a","M",20,8.6625,"Unknow","S",0
"727","Vive","2a","F",30,5.25,"Unknow","S",3
"728","Vive","3a","F",29.6991176470588,7.7375,"Unknow","Q",0
"729","Muere","2a","M",25,13,"Unknow","S",1
"730","Muere","3a","F",25,3.9625,"Unknow","S",1
"731","Vive","1a","F",29,73.3802,"B","S",0
"732","Muere","3a","M",11,18.7875,"Unknow","C",0
"733","Muere","2a","M",29.6991176470588,20.6621831521739,"Unknow","S",0
"734","Muere","2a","M",23,13,"Unknow","S",0
"735","Muere","2a","M",23,13,"Unknow","S",0
"736","Muere","3a","M",28.5,16.1,"Unknow","S",0
"737","Muere","3a","F",48,6.875,"Unknow","S",4
"738","Vive","1a","M",35,73.3802,"B","C",0
"739","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"740","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"741","Vive","1a","M",29.6991176470588,30,"D","S",0
"742","Muere","1a","M",36,39.425,"C","S",1
"743","Vive","1a","F",21,52.475,"B","C",4
"744","Muere","3a","M",24,8.05,"Unknow","S",1
"745","Vive","3a","M",31,7.925,"Unknow","S",0
"746","Muere","1a","M",70,23.6666666666667,"B","S",2
"747","Muere","3a","M",16,6.75,"Unknow","S",2
"748","Vive","2a","F",30,13,"Unknow","S",0
"749","Muere","1a","M",19,26.55,"D","S",1
"750","Muere","3a","M",31,7.75,"Unknow","Q",0
"751","Vive","2a","F",4,7.66666666666667,"Unknow","S",2
"752","Vive","3a","M",6,6.2375,"E","S",1
"753","Muere","3a","M",33,9.5,"Unknow","S",0
"754","Muere","3a","M",23,7.8958,"Unknow","S",0
"755","Vive","2a","F",48,16.25,"Unknow","S",3
"756","Vive","2a","M",0.67,4.83333333333333,"Unknow","S",2
"757","Muere","3a","M",28,7.7958,"Unknow","S",0
"758","Muere","2a","M",18,11.5,"Unknow","S",0
"759","Muere","3a","M",34,8.05,"Unknow","S",0
"760","Vive","1a","F",33,73.3802,"B","S",0
"761","Muere","3a","M",29.6991176470588,14.5,"Unknow","S",0
"762","Muere","3a","M",41,7.125,"Unknow","S",0
"763","Vive","3a","M",20,7.2292,"Unknow","C",0
"764","Vive","1a","F",36,30,"B","S",3
"765","Muere","3a","M",16,7.775,"Unknow","S",0
"766","Vive","1a","F",51,38.97915,"D","S",1
"767","Muere","1a","M",29.6991176470588,39.6,"Unknow","C",0
"768","Muere","3a","F",30.5,7.75,"Unknow","Q",0
"769","Muere","3a","M",29.6991176470588,12.075,"Unknow","Q",1
"770","Muere","3a","M",32,8.3625,"Unknow","S",0
"771","Muere","3a","M",24,9.5,"Unknow","S",0
"772","Muere","3a","M",48,7.8542,"Unknow","S",0
"773","Muere","2a","F",57,10.5,"E","S",0
"774","Muere","3a","M",29.6991176470588,7.225,"Unknow","C",0
"775","Vive","2a","F",54,4.6,"Unknow","S",4
"776","Muere","3a","M",18,7.75,"Unknow","S",0
"777","Muere","3a","M",29.6991176470588,7.75,"F","Q",0
"778","Vive","3a","F",5,12.475,"Unknow","S",0
"779","Muere","3a","M",29.6991176470588,7.7375,"Unknow","Q",0
"780","Vive","1a","F",43,73.3802,"B","S",1
"781","Vive","3a","F",13,7.2292,"Unknow","C",0
"782","Vive","1a","F",17,28.5,"B","S",1
"783","Muere","1a","M",29,30,"D","S",0
"784","Muere","3a","M",29.6991176470588,5.8625,"Unknow","S",3
"785","Muere","3a","M",25,7.05,"Unknow","S",0
"786","Muere","3a","M",25,7.25,"Unknow","S",0
"787","Vive","3a","F",18,7.4958,"Unknow","S",0
"788","Muere","3a","M",8,4.85416666666667,"Unknow","Q",5
"789","Vive","3a","M",1,5.14375,"Unknow","S",3
"790","Muere","1a","M",46,73.3802,"B","C",0
"791","Muere","3a","M",29.6991176470588,7.75,"Unknow","Q",0
"792","Muere","2a","M",16,26,"Unknow","S",0
"793","Muere","3a","F",29.6991176470588,6.32272727272727,"Unknow","S",10
"794","Muere","1a","M",29.6991176470588,30.6958,"Unknow","C",0
"795","Muere","3a","M",25,7.8958,"Unknow","S",0
"796","Muere","2a","M",39,13,"Unknow","S",0
"797","Vive","1a","F",49,25.9292,"D","S",0
"798","Vive","3a","F",31,8.6833,"Unknow","S",0
"799","Muere","3a","M",30,7.2292,"Unknow","C",0
"800","Muere","3a","F",30,8.05,"Unknow","S",2
"801","Muere","2a","M",34,13,"Unknow","S",0
"802","Vive","2a","F",31,8.75,"Unknow","S",2
"803","Vive","1a","M",11,30,"B","S",3
"804","Vive","3a","M",0.42,4.25835,"Unknow","C",1
"805","Vive","3a","M",27,6.975,"Unknow","S",0
"806","Muere","3a","M",31,7.775,"Unknow","S",0
"807","Muere","1a","M",39,73.3802,"A","S",0
"808","Muere","3a","F",18,7.775,"Unknow","S",0
"809","Muere","2a","M",39,13,"Unknow","S",0
"810","Vive","1a","F",33,26.55,"E","S",1
"811","Muere","3a","M",26,7.8875,"Unknow","S",0
"812","Muere","3a","M",39,24.15,"Unknow","S",0
"813","Muere","2a","M",35,10.5,"Unknow","S",0
"814","Muere","3a","F",6,4.46785714285714,"Unknow","S",6
"815","Muere","3a","M",30.5,8.05,"Unknow","S",0
"816","Muere","1a","M",29.6991176470588,73.3802,"B","S",0
"817","Muere","3a","F",23,7.925,"Unknow","S",0
"818","Muere","2a","M",31,12.3347333333333,"Unknow","C",2
"819","Muere","3a","M",43,6.45,"Unknow","S",0
"820","Muere","3a","M",10,4.65,"Unknow","S",5
"821","Vive","1a","F",52,31.1666666666667,"B","S",2
"822","Vive","3a","M",27,8.6625,"Unknow","S",0
"823","Muere","1a","M",38,73.3802,"Unknow","S",0
"824","Vive","3a","F",27,6.2375,"E","S",1
"825","Muere","3a","M",2,6.61458333333333,"Unknow","S",5
"826","Muere","3a","M",29.6991176470588,6.95,"Unknow","Q",0
"827","Muere","3a","M",29.6991176470588,56.4958,"Unknow","S",0
"828","Vive","2a","M",1,12.3347333333333,"Unknow","C",2
"829","Vive","3a","M",29.6991176470588,7.75,"Unknow","Q",0
"830","Vive","1a","F",62,73.3802,"B","S",0
"831","Vive","3a","F",15,7.2271,"Unknow","C",1
"832","Vive","2a","M",0.83,6.25,"Unknow","S",2
"833","Muere","3a","M",29.6991176470588,7.2292,"Unknow","C",0
"834","Muere","3a","M",23,7.8542,"Unknow","S",0
"835","Muere","3a","M",18,8.3,"Unknow","S",0
"836","Vive","1a","F",39,27.7194333333333,"E","C",2
"837","Muere","3a","M",21,8.6625,"Unknow","S",0
"838","Muere","3a","M",29.6991176470588,8.05,"Unknow","S",0
"839","Vive","3a","M",32,56.4958,"Unknow","S",0
"840","Vive","1a","M",29.6991176470588,29.7,"C","C",0
"841","Muere","3a","M",20,7.925,"Unknow","S",0
"842","Muere","2a","M",16,10.5,"Unknow","S",0
"843","Vive","1a","F",30,31,"Unknow","C",0
"844","Muere","3a","M",34.5,6.4375,"Unknow","C",0
"845","Muere","3a","M",17,8.6625,"Unknow","S",0
"846","Muere","3a","M",42,7.55,"Unknow","S",0
"847","Muere","3a","M",29.6991176470588,6.32272727272727,"Unknow","S",10
"848","Muere","3a","M",35,7.8958,"Unknow","C",0
"849","Muere","2a","M",28,16.5,"Unknow","S",1
"850","Vive","1a","F",29.6991176470588,44.5521,"C","C",1
"851","Muere","3a","M",4,4.46785714285714,"Unknow","S",6
"852","Muere","3a","M",74,7.775,"Unknow","S",0
"853","Muere","3a","F",9,5.08193333333333,"Unknow","C",2
"854","Vive","1a","F",16,19.7,"D","S",1
"855","Muere","2a","F",44,13,"Unknow","S",1
"856","Vive","3a","F",18,4.675,"Unknow","S",1
"857","Vive","1a","F",45,54.9555666666667,"Unknow","S",2
"858","Vive","1a","M",51,26.55,"E","S",0
"859","Vive","3a","F",24,4.814575,"Unknow","C",3
"860","Muere","3a","M",29.6991176470588,7.2292,"Unknow","C",0
"861","Muere","3a","M",41,4.70276666666667,"Unknow","S",2
"862","Muere","2a","M",21,5.75,"Unknow","S",1
"863","Vive","1a","F",48,25.9292,"D","S",0
"864","Muere","3a","F",29.6991176470588,6.32272727272727,"Unknow","S",10
"865","Muere","2a","M",24,13,"Unknow","S",0
"866","Vive","2a","F",42,13,"Unknow","S",0
"867","Vive","2a","F",27,6.92915,"Unknow","C",1
"868","Muere","1a","M",31,50.4958,"A","S",0
"869","Muere","3a","M",29.6991176470588,9.5,"Unknow","S",0
"870","Vive","3a","M",4,3.7111,"Unknow","S",2
"871","Muere","3a","M",26,7.8958,"Unknow","S",0
"872","Vive","1a","F",47,17.5180666666667,"D","S",2
"873","Muere","1a","M",33,5,"B","S",0
"874","Muere","3a","M",47,9,"Unknow","S",0
"875","Vive","2a","F",28,12,"Unknow","C",1
"876","Vive","3a","F",15,7.225,"Unknow","C",0
"877","Muere","3a","M",20,9.8458,"Unknow","S",0
"878","Muere","3a","M",19,7.8958,"Unknow","S",0
"879","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"880","Vive","1a","F",56,41.57915,"C","C",1
"881","Vive","2a","F",25,13,"Unknow","S",1
"882","Muere","3a","M",33,7.8958,"Unknow","S",0
"883","Muere","3a","F",22,10.5167,"Unknow","S",0
"884","Muere","2a","M",28,10.5,"Unknow","S",0
"885","Muere","3a","M",25,7.05,"Unknow","S",0
"886","Muere","3a","F",39,4.85416666666667,"Unknow","Q",5
"887","Muere","2a","M",27,13,"Unknow","S",0
"888","Vive","1a","F",19,30,"B","S",0
"889","Muere","3a","F",29.6991176470588,5.8625,"Unknow","S",3
"890","Vive","1a","M",26,30,"C","C",0
"891","Muere","3a","M",32,7.75,"Unknow","Q",0
